                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3951,                 5.5292,                 4.3455,                0.00031,                 0.0814,                 0.0002,                  5e-05,                 4.7501,                  6.182,                 4.1616,                0.00042,                0.00042,                0.00042
                      2,                 3.9631,                   4.78,                 4.0487,                0.00025,                0.06977,                0.00016,                  5e-05,                 4.7652,                 5.5491,                 4.1898,             0.00083162,             0.00083162,             0.00083162
                      3,                 3.5261,                 4.0661,                 3.6001,                0.00026,                0.06977,                0.00022,                  4e-05,                 4.7158,                 5.2949,                 4.1474,              0.0012142,              0.0012142,              0.0012142
                      4,                 3.2612,                 3.5876,                 3.2948,                0.00069,                0.06977,                0.00039,                  8e-05,                  4.655,                 5.3096,                 4.1729,              0.0015677,              0.0015677,              0.0015677
                      5,                 3.0993,                 3.1091,                 3.0649,                0.12812,                0.11628,                0.04074,                0.01208,                 3.0135,                 3.9677,                 3.2138,               0.001736,               0.001736,               0.001736
                      6,                 2.8899,                 2.9151,                 2.9435,                0.08994,                0.26744,                0.08522,                0.02822,                 2.9567,                 3.6819,                   3.16,               0.001736,               0.001736,               0.001736
                      7,                 2.7935,                 2.7364,                 2.7935,                0.09349,                0.05814,                0.02175,                0.00578,                 3.2794,                   4.38,                 3.8701,                0.00167,                0.00167,                0.00167
                      8,                 2.7759,                 2.6804,                 2.7184,                 0.1935,                0.06977,                0.06902,                0.01948,                 3.1273,                 3.3149,                 3.0756,               0.001604,               0.001604,               0.001604
                      9,                 2.6776,                 2.5699,                 2.7119,                0.15825,                0.12791,                0.08128,                0.02078,                 3.3378,                 2.9454,                 3.0478,               0.001538,               0.001538,               0.001538
                     10,                 2.6037,                 2.4371,                 2.6278,                0.12301,                 0.4186,                0.14791,                0.04403,                 2.5009,                 2.7349,                 2.6514,               0.001472,               0.001472,               0.001472
                     11,                 2.6734,                   2.33,                 2.6078,                0.35347,                0.37209,                0.30975,                0.09318,                  2.546,                 2.7363,                 2.6407,               0.001406,               0.001406,               0.001406
                     12,                  2.533,                 2.1965,                 2.5663,                0.41956,                0.27907,                0.26178,                0.06482,                 2.5785,                 2.7683,                 2.6897,                0.00134,                0.00134,                0.00134
                     13,                 2.4289,                 2.1275,                 2.5119,                 0.5594,                0.43023,                0.49337,                0.17536,                 2.4328,                 2.2126,                 2.6286,               0.001274,               0.001274,               0.001274
                     14,                 2.3842,                 2.0948,                 2.4531,                0.60344,                 0.5814,                 0.5375,                0.19284,                 2.2421,                 2.2832,                 2.4552,               0.001208,               0.001208,               0.001208
                     15,                 2.3875,                 2.0455,                 2.4345,                0.49677,                0.43623,                0.42373,                0.18231,                 2.2362,                 2.5424,                 2.4428,               0.001142,               0.001142,               0.001142
                     16,                 2.3056,                 1.9369,                 2.3726,                0.83717,                0.43023,                 0.5818,                0.23012,                 2.1574,                 1.8289,                 2.3696,               0.001076,               0.001076,               0.001076
                     17,                  2.193,                 1.8214,                   2.31,                0.81944,                0.47497,                0.59665,                 0.2339,                 2.1785,                 1.8635,                  2.382,                0.00101,                0.00101,                0.00101
                     18,                 2.2496,                 1.7772,                 2.3146,                0.73468,                0.55814,                0.63505,                0.23616,                  2.253,                 1.9182,                 2.3962,               0.000944,               0.000944,               0.000944
                     19,                 2.2161,                 1.6917,                 2.2856,                0.67252,                0.59701,                0.66772,                0.25837,                  2.132,                 1.7747,                 2.3081,               0.000878,               0.000878,               0.000878
                     20,                 2.1687,                 1.6753,                 2.2609,                0.69572,                0.65116,                0.69849,                0.28895,                 2.0889,                 1.6939,                 2.2541,               0.000812,               0.000812,               0.000812
                     21,                 2.0984,                 1.7744,                  2.293,                0.53217,                0.65116,                0.62435,                0.27409,                 2.0628,                 1.7261,                 2.2597,               0.000746,               0.000746,               0.000746
                     22,                 2.0717,                 1.7201,                 2.2505,                0.69377,                0.65116,                0.66042,                0.27363,                 2.1331,                 1.7168,                 2.2318,                0.00068,                0.00068,                0.00068
                     23,                 2.0756,                  1.659,                 2.2553,                0.86256,                0.52326,                0.71077,                0.28145,                 2.1959,                 1.6415,                 2.3194,               0.000614,               0.000614,               0.000614
                     24,                 2.0161,                 1.6161,                 2.2577,                 0.7648,                0.66279,                0.73463,                0.31897,                 2.0698,                 1.5661,                 2.2475,               0.000548,               0.000548,               0.000548
                     25,                 1.9581,                 1.5268,                 2.1898,                0.81963,                0.60465,                0.74245,                0.30474,                 2.0467,                 1.6439,                 2.2517,               0.000482,               0.000482,               0.000482
                     26,                 1.9787,                 1.5424,                 2.1965,                0.85992,                0.64246,                0.74954,                 0.3263,                 2.0452,                 1.5609,                 2.1876,               0.000416,               0.000416,               0.000416
                     27,                 1.9252,                 1.5068,                 2.1763,                0.80134,                 0.6567,                0.76811,                0.31732,                 2.0513,                 1.5404,                 2.1646,                0.00035,                0.00035,                0.00035
                     28,                 1.8934,                 1.4529,                 2.1196,                0.81575,                0.67442,                0.78644,                0.32151,                 2.0263,                 1.5271,                 2.1433,               0.000284,               0.000284,               0.000284
                     29,                 1.8743,                  1.418,                 2.1484,                0.80194,                0.75334,                0.78724,                0.34504,                 1.9927,                 1.4291,                 2.1256,               0.000218,               0.000218,               0.000218
                     30,                 1.9221,                  1.427,                 2.1117,                 0.7974,                0.73224,                0.81395,                0.35641,                 1.9482,                 1.4297,                 2.0941,               0.000152,               0.000152,               0.000152
