                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3181,                 5.5425,                 4.2325,                0.00026,                0.06467,                0.00015,                  3e-05,                  4.762,                 5.7011,                 4.1615,                0.00054,                0.00054,                0.00054
                      2,                  3.872,                  4.634,                 3.8418,                0.00021,                0.05312,                0.00013,                  3e-05,                 4.7933,                 4.9744,                 4.2119,              0.0010637,              0.0010637,              0.0010637
                      3,                 3.3902,                 3.7763,                 3.4474,                0.00024,                0.01617,                0.00013,                  4e-05,                 4.3082,                 4.7108,                  3.906,              0.0015504,              0.0015504,              0.0015504
                      4,                 2.9562,                 3.2053,                 3.0758,                0.19103,                0.11316,                0.05894,                0.01672,                 3.2824,                 3.5514,                 3.4131,               0.001802,               0.001802,               0.001802
                      5,                 2.8324,                 2.9146,                 2.8701,                0.27658,                0.29561,                0.17558,                0.04566,                 2.7413,                 3.3504,                  3.291,               0.001802,               0.001802,               0.001802
                      6,                 2.7756,                 2.5533,                 2.7326,                0.18359,                0.26097,                0.11522,                0.03397,                 2.7258,                 2.8236,                 2.8609,               0.001736,               0.001736,               0.001736
                      7,                  2.767,                 2.5581,                  2.692,                 0.1489,                0.17552,                0.09909,                0.03375,                 2.5195,                 3.0276,                  2.784,                0.00167,                0.00167,                0.00167
                      8,                 2.4712,                 2.4811,                  2.496,                0.24496,                0.13787,                0.11195,                0.03549,                 2.4864,                 3.2896,                 2.7301,               0.001604,               0.001604,               0.001604
                      9,                 2.5242,                 2.1897,                 2.5241,                  0.092,                 0.0254,                0.06766,                0.01871,                 2.5739,                 3.4051,                  2.782,               0.001538,               0.001538,               0.001538
                     10,                 2.3948,                 2.1554,                 2.4331,                0.31118,                0.36952,                0.31299,                 0.1131,                 2.2875,                 5.3161,                 2.4882,               0.001472,               0.001472,               0.001472
                     11,                 2.3809,                 2.1103,                 2.4837,                0.52242,                0.47113,                0.45082,                0.18906,                  2.144,                 2.0184,                 2.3687,               0.001406,               0.001406,               0.001406
                     12,                 2.3992,                 1.9322,                 2.4122,                0.33945,                0.34873,                0.30697,                0.11909,                 2.1223,                 2.3887,                 2.3626,                0.00134,                0.00134,                0.00134
                     13,                 2.2404,                 1.8228,                 2.2945,                0.66418,                0.57044,                0.63008,                0.27452,                 2.0228,                 1.7596,                 2.2469,               0.001274,               0.001274,               0.001274
                     14,                 2.0693,                 1.8647,                 2.1639,                0.66837,                0.53527,                0.60657,                0.22888,                 2.1825,                  1.855,                 2.4729,               0.001208,               0.001208,               0.001208
                     15,                 2.1979,                 1.7632,                 2.2795,                0.62811,                0.59122,                0.62772,                0.23845,                 2.1173,                 1.8435,                  2.294,               0.001142,               0.001142,               0.001142
                     16,                 2.1518,                   1.71,                 2.2501,                0.56486,                 0.6097,                 0.6274,                 0.2974,                 1.8446,                 1.7055,                 2.1289,               0.001076,               0.001076,               0.001076
                     17,                 2.0155,                 1.6071,                 2.1665,                0.70638,                0.65358,                 0.6703,                0.30342,                 1.9027,                 1.5299,                 2.1244,                0.00101,                0.00101,                0.00101
                     18,                 2.0278,                 1.4801,                 2.1023,                0.76046,                 0.6582,                0.76752,                0.35276,                 1.8622,                 1.4449,                 2.1077,               0.000944,               0.000944,               0.000944
                     19,                 2.1266,                 1.5814,                 2.1548,                0.75599,                0.63741,                0.72149,                0.32908,                 1.8903,                 1.5381,                 2.1549,               0.000878,               0.000878,               0.000878
                     20,                 1.9952,                 1.5134,                 2.1184,                0.68577,                0.63741,                0.69177,                0.30849,                 1.8928,                 1.5425,                  2.104,               0.000812,               0.000812,               0.000812
                     21,                 1.8995,                 1.6212,                 2.1508,                0.77561,                 0.6351,                0.76623,                0.37166,                 1.8054,                 1.4386,                 2.0917,               0.000746,               0.000746,               0.000746
                     22,                 1.8762,                 1.4812,                 2.0775,                0.68027,                0.69284,                0.72063,                0.34732,                 1.7923,                 1.5222,                 2.0467,                0.00068,                0.00068,                0.00068
                     23,                 1.7881,                 1.4155,                 1.9883,                0.73782,                0.72517,                0.77068,                0.38096,                 1.7239,                 1.4319,                 1.9799,               0.000614,               0.000614,               0.000614
                     24,                 1.8975,                 1.4526,                  2.045,                0.77145,                0.66513,                0.76393,                 0.3545,                 1.7768,                 1.4241,                  2.043,               0.000548,               0.000548,               0.000548
                     25,                 1.8326,                 1.3861,                  1.983,                0.77176,                0.74365,                0.81653,                0.40082,                 1.7466,                 1.3276,                 2.0059,               0.000482,               0.000482,               0.000482
                     26,                 1.8827,                  1.448,                 2.0653,                0.81672,                0.74134,                 0.8288,                0.43021,                 1.7154,                 1.2922,                 1.9725,               0.000416,               0.000416,               0.000416
                     27,                 1.7219,                 1.3077,                  1.973,                0.83211,                 0.7552,                0.84998,                0.44728,                  1.646,                 1.2246,                 1.9184,                0.00035,                0.00035,                0.00035
                     28,                 1.7204,                 1.3273,                 1.9911,                0.82664,                0.70477,                0.82778,                0.43176,                 1.6456,                 1.3555,                 1.9266,               0.000284,               0.000284,               0.000284
                     29,                 1.7754,                 1.3453,                 1.9307,                0.81818,                0.76906,                0.85213,                 0.4504,                 1.6137,                 1.2212,                 1.8893,               0.000218,               0.000218,               0.000218
                     30,                 1.6959,                 1.2446,                 1.9348,                0.85905,                0.76443,                0.87171,                0.46963,                 1.5904,                 1.1565,                 1.8756,               0.000152,               0.000152,               0.000152
